stationcode,sampledate,evaluator,channeltype,bottom,bottomcomments,rightsideofstructure,rightsidecomments,leftsideofstructure,leftsidecomments,masterid,smc_lu,latitude,longitude,huc,class_do,class_do_f
402M00138,2021-05-20T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,402M00138,Open,34.45289,-119.28781,402,Natural,0
402M00155,2022-06-07T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,402M00155,Open,34.49456,-119.33077,402,Natural,0
402M00157,2021-05-19T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Soft,,Hard,,402M00157,Urban,34.37646,-119.30793,402,Soft bottom-1 hard side,2
402M00191,2022-06-23T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,402M00191,Agricultural,34.42514,-119.26087,402,Natural,0
402MJCMHS,1950-01-01T08:00:00Z,B.Jones. K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402MJCMHS,Open,34.5028,-119.3573,402,Natural,0
402MTCUNF,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402MTCUNF,Open,34.5175,-119.3792,402,Natural,0
402PS0048,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402PS0048,Open,34.53077,-119.40085,402,Natural,0
SMC09503,2012-06-04T07:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,402S09503,Open,34.49757,-119.33913,402,Natural,0
402SNPMCR,2014-05-28T07:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,402SNPMCR,Open,34.50509,-119.37741,402,Natural,0
402WE0536,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402WE0536,Open,34.5196,-119.40537,402,Natural,0
402WE0803,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402WE0803,Open,34.42131,-119.3806,402,Natural,0
402WER001,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,402WER001,Open,34.50528,-119.27806,402,Natural,0
SMC00027,2020-06-03T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,403BA0027,Open,34.66254,-119.05249,403,Natural,0
403BA0047,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Hard,NA,403BA0047,Urban,34.27084,-119.1524,403,Soft bottom-2 hard sides,3
403BA0136,2014-06-09T07:00:00Z,SM,Natural,NA,NA,NA,NA,NA,NA,403BA0136,Open,34.51202,-118.45038,403,Natural,0
403BA0171,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403BA0171,Open,34.58516,-119.28363,403,Natural,0
SMC00191,2010-07-12T07:00:00Z,B.Jones,Engineered,Soft,NA,Hard,NA,Hard,NA,403BA0191,Urban,34.36762,-119.0538,403,Soft bottom-2 hard sides,3
403CE0156,2015-06-11T07:00:00Z,SM,Natural,NA,NA,NA,NA,NA,NA,403CE0156,Open,34.37746,-119.05968,403,Natural,0
403CE0188,2015-06-10T07:00:00Z,SM,Engineered,Soft,NA,Hard,NA,Hard,NA,403CE0188,Urban,34.35646,-119.04752,403,Soft bottom-2 hard sides,3
403FCA022,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403FCA022,Agricultural,34.35671,-119.01988,403,Natural,0
403LNCASC,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403LNCASC,Open,34.53892,-119.16139,403,Natural,0
403M01500,2016-06-15T07:00:00Z,Karin WIsenbaker,Engineered,Hard,NA,Hard,NA,Hard,NA,403M01500,Agricultural,34.29132,-119.14776,403,Hard bottom,4
403M01505,2015-06-29T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Soft,NA,Hard,NA,403M01505,Agricultural,34.41709,-118.92546,403,Soft bottom-1 hard side,2
403M01506,2015-06-17T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,403M01506,Agricultural,34.39739,-118.79347,403,Natural,0
403M01522,2016-06-29T07:00:00Z,Karin WIsenbaker,Engineered,Soft,NA,Soft,NA,Soft,NA,403M01522,Agricultural,34.41442,-118.78842,403,Soft bottom-0 hard sides,1
403M01528,2016-06-15T07:00:00Z,Karin WIsenbaker,Natural,NA,NA,NA,NA,NA,NA,403M01528,Agricultural,34.27599,-119.14219,403,Natural,0
403M01538,2017-05-25T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,403M01538,Agricultural,34.41199,-118.83067,403,Natural,0
403M01539,2017-04-20T07:00:00Z,Wendy Willis,Natural,NA,NA,NA,NA,NA,NA,403M01539,Open,34.54733,-119.16554,403,Natural,0
403M01553,2017-05-25T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,403M01553,Agricultural,34.43845,-118.92539,403,Natural,0
403M01560,2019-05-15T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,403M01560,Agricultural,34.23545,-119.21253,403,Natural,0
403M01565,2018-06-13T07:00:00Z,Karin Wisenbaker,Natural,NA,,NA,,NA,,403M01565,Urban,34.38023,-119.06545,403,Natural,0
403M01571,2019-06-19T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,403M01571,Open,34.58667,-119.27994,403,Natural,0
403M01575,2020-06-03T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,403M01575,Open,34.64892,-119.1127,403,Natural,0
403M01580,2019-05-15T07:00:00Z,A. Wallengren,Natural,NA,,NA,,NA,,403M01580,Agricultural,34.23495,-119.23075,403,Natural,0
403M01619,2021-05-21T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,403M01619,Open,34.55945,-119.26634,403,Natural,0
403M01625,2020-06-30T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,403M01625,Open,34.57002,-118.77994,403,Natural,0
403M01626,2018-06-13T07:00:00Z,Karin Wisenbaker,Natural,NA,,NA,,NA,,403M01626,Open,34.43605,-119.0864,403,Natural,0
403M01629,2020-06-15T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,403M01629,Agricultural,34.38748,-119.0707,403,Natural,0
403M01657,2022-06-02T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,403M01657,Agricultural,34.35117,-119.04012,403,Natural,0
ME-SCR2,2022-06-15T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,403M01661,Agricultural,34.30608,-119.09618,403,Natural,0
403M05757,2015-06-29T07:00:00Z,Damon Owen. Melissa Mathis,Natural,NA,NA,NA,NA,NA,NA,403M05757,Open,34.54518,-118.43467,403,Natural,0
403M05758,2015-06-29T07:00:00Z,Damon Owen. Melissa Mathis,Natural,NA,NA,NA,NA,NA,NA,403M05758,Agricultural,34.43484,-118.61254,403,Natural,0
403M05771,2015-04-30T07:00:00Z,Damon Owen. Melissa Mathis,Natural,NA,NA,NA,NA,NA,NA,403M05771,Open,34.69939,-118.79476,403,Natural,0
403M05774,2016-06-22T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,403M05774,Agricultural,34.42692,-118.62067,403,Natural,0
403M05780,2016-05-26T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,403M05780,Open,34.60452,-118.55686,403,Natural,0
403M05785,2017-06-06T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,403M05785,Open,34.37091,-118.47199,403,Natural,0
403M05795,2017-06-05T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,403M05795,Open,34.60898,-118.77961,403,Natural,0
403M05798,2018-05-15T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,403M05798,Open,34.3633,-118.42772,403,Natural,0
403M05800,2018-05-16T07:00:00Z,DO/NC,Engineered,Hard,50% natural streambed,Hard,50% of reach natural,Hard,50% natural,403M05800,Open,34.52907,-118.52244,403,Hard bottom,4
403M05832,2019-06-27T07:00:00Z,D. Owen,Natural,NA,,NA,,NA,,403M05832,Open,34.54997,-118.50855,403,Natural,0
403M05844,2019-06-20T07:00:00Z,D. Owen,Natural,NA,,NA,,NA,,403M05844,Open,34.59423,-118.56356,403,Natural,0
403M05892,2021-05-12T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,403M05892,Open,34.61702,-118.55871,403,Natural,0
403M05893,2021-05-13T07:00:00Z,Damon Owen,Engineered,Soft,,Hard,,Hard,,403M05893,Urban,34.44409,-118.51398,403,Soft bottom-2 hard sides,3
403M05940,2022-06-15T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,403M05940,Open,34.5263,-118.44301,403,Natural,0
403PRCAGH,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403PRCAGH,Open,34.69449,-118.92051,403,Natural,0
403R4S117,2015-04-28T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,403R4S117,Open,34.58739,-118.45116,403,Natural,0
403R4S137,2015-04-28T07:00:00Z,SM,Engineered,Hard,NA,Hard,NA,Hard,NA,403R4S137,Agricultural,34.44605,-118.4892,403,Hard bottom,4
403R4S193,2016-05-24T07:00:00Z,R. Mazor,Engineered,Soft,NA,Hard,NA,Soft,NA,403R4S193,Agricultural,34.41722,-118.78927,403,Soft bottom-1 hard side,2
403R4S211,2016-05-13T07:00:00Z,R. Mazor,Engineered,Soft,NA,Hard,NA,Soft,NA,403R4S211,Open,34.57232,-118.46287,403,Soft bottom-1 hard side,2
SMC00064,2022-05-19T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,403S00064,Open,34.64435,-118.51371,403,Natural,0
SMC00271,2017-04-20T07:00:00Z,Wendy Willis,Natural,NA,NA,NA,NA,NA,NA,403S00271,Open,34.5485,-119.16547,403,Natural,0
SMC00640,2022-06-02T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,403S00640,Open,34.60114,-118.55797,403,Natural,0
SMC00772,2022-06-02T07:00:00Z,K. Wisenbaker,Natural,NA,,NA,,NA,,403S00772,Agricultural,34.40976,-118.93221,403,Natural,0
403S00875,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S00875,Open,34.55668,-119.30629,403,Natural,0
403S01195,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S01195,Open,34.55903,-119.2678,403,Natural,0
403S01707,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S01707,Open,34.59835,-119.34799,403,Natural,0
SMC02139,2012-07-17T07:00:00Z,B.Jones,Natural,NA,NA,NA,NA,NA,NA,403S02139,Open,34.6714,-119.01717,403,Natural,0
403S02363,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S02363,Open,34.55885,-119.15456,403,Natural,0
403S05291,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S05291,Open,34.56397,-119.26305,403,Natural,0
403S06139,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S06139,Open,34.55464,-119.2405,403,Natural,0
403S06315,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S06315,Open,34.59223,-119.31033,403,Natural,0
403S07227,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403S07227,Open,34.56208,-119.16664,403,Natural,0
403SED076,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403SED076,Open,34.56182,-119.16611,403,Natural,0
403SPCNWS,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403SPCNWS,Open,34.5778,-119.2579,403,Natural,0
403STC008,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Soft,Veg amounts vary by year,Soft,Veg amounts vary by year,403STC008,Agricultural,34.38667,-118.90528,403,Soft bottom-0 hard sides,1
403STC009,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC009,Open,34.53833,-118.75889,403,Natural,0
403STC010,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC010,Open,34.53306,-119.15833,403,Natural,0
403STC016,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC016,Agricultural,34.23556,-119.24083,403,Natural,0
403STC017,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC017,Open,34.68889,-118.9025,403,Natural,0
403STC021,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC021,Open,34.64667,-119.06944,403,Natural,0
403STC022,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC022,Open,34.555,-119.20472,403,Natural,0
403STC024,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC024,Open,34.45056,-119.05583,403,Natural,0
403STC025,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC025,Open,34.66528,-119.05111,403,Natural,0
403STC026,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC026,Open,34.55889,-119.26861,403,Natural,0
403STC028,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC028,Open,34.43722,-119.08583,403,Natural,0
403STC030,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC030,Open,34.57,-119.15556,403,Natural,0
403STC064,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC064,Open,34.55806,-119.10361,403,Natural,0
403STC066,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC066,Open,34.585,-119.16472,403,Natural,0
403STC069,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC069,Open,34.68111,-119.02111,403,Natural,0
403STC070,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC070,Open,34.56667,-119.26278,403,Natural,0
403STC071,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC071,Open,34.68278,-118.84361,403,Natural,0
403STC076,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC076,Open,34.42472,-118.76278,403,Natural,0
403STC082,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC082,Agricultural,34.33583,-119.06833,403,Natural,0
403STC085,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC085,Open,34.6425,-119.0775,403,Natural,0
403STC086,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC086,Open,34.55667,-119.20611,403,Natural,0
403STC090,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Hard,NA,Hard,NA,403STC090,Urban,34.37889,-119.0625,403,Soft bottom-2 hard sides,3
403STC093,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STC093,Open,34.70806,-118.97333,403,Natural,0
403STCEST,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STCEST,Agricultural,34.23557,-119.21674,403,Natural,0
403STCNRB,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STCNRB,Agricultural,34.40138,-118.70012,403,Natural,0
403STCPRU,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STCPRU,Agricultural,34.40894,-118.78483,403,Natural,0
403STCSSP,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403STCSSP,Urban,34.39414,-118.94096,403,Natural,0
403WE0501,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0501,Open,34.54172,-118.77286,403,Natural,0
403WE0534,2015-06-08T07:00:00Z,SM,Natural,NA,NA,NA,NA,NA,NA,403WE0534,Open,34.61359,-118.77983,403,Natural,0
403WE0535,2015-06-10T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,403WE0535,Open,34.43957,-118.75907,403,Natural,0
403WE0540,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0540,Open,34.65136,-119.11845,403,Natural,0
403WE0560,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0560,Open,34.55841,-119.14079,403,Natural,0
403WE0682,2016-05-25T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,403WE0682,Open,34.57066,-118.38974,403,Natural,0
403WE0683,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0683,Open,34.43952,-119.07616,403,Natural,0
403WE0795,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0795,Open,34.6408,-119.08094,403,Natural,0
403WE0809,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0809,Open,34.5515,-119.20811,403,Natural,0
403WE0891,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0891,Open,34.65926,-119.14255,403,Natural,0
403WE0905,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE0905,Open,34.55734,-119.24876,403,Natural,0
403WE1021,2015-06-09T07:00:00Z,SM,Natural,NA,NA,NA,NA,NA,NA,403WE1021,Open,34.63193,-118.52977,403,Natural,0
403WE1027,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,403WE1027,Open,34.72654,-119.02842,403,Natural,0
404BA0084,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,404BA0084,Open,34.09079,-118.94926,404,Natural,0
404M04517,2017-04-26T07:00:00Z,Karin Wisenbaker,Natural,NA,NA,NA,NA,NA,NA,404M04517,Open,34.17649,-118.70612,404,Natural,0
404M04532,2015-07-14T07:00:00Z,Karin Wisenbaker,Engineered,Soft,NA,Hard,NA,Soft,NA,404M04532,Urban,34.1744,-118.78748,404,Soft bottom-1 hard side,2
404M04599,2016-08-03T07:00:00Z,Karin WIsenbaker,Natural,NA,NA,NA,NA,NA,NA,404M04599,Open,34.09458,-118.92442,404,Natural,0
404M04624,2018-06-19T07:00:00Z,Alexis Wallengren,Natural,NA,,NA,,NA,,404M04624,Urban,34.18241,-118.78924,404,Natural,0
404M04672,2020-06-09T07:00:00Z,S. Johnson,Natural,NA,,NA,,NA,,404M04672,SMC_out,34.1868,-118.7893,404,Natural,0
404M04674,2019-05-09T07:00:00Z,K. Wisenbaker,Engineered,Soft,,Hard,,Hard,,404M04674,Urban,34.1462,-118.85088,404,Soft bottom-2 hard sides,3
404M07346,2015-07-01T07:00:00Z,Damon Owen. Melissa Mathis,Natural,NA,NA,NA,NA,NA,NA,404M07346,Urban,33.8024,-118.39639,404,Natural,0
404M07349,2015-07-15T07:00:00Z,Damon Owen. Melissa Mathis,Natural,NA,NA,NA,NA,NA,NA,404M07349,Open,34.07803,-118.70166,404,Natural,0
404M07354,2016-06-16T07:00:00Z,DO/NC,Engineered,Hard,NA,Hard,NA,Hard,NA,404M07354,SMC_out,34.02025,-118.38647,404,Hard bottom,4
404M07357,2016-06-13T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,404M07357,Open,34.07936,-118.59437,404,Natural,0
404M07358,2016-06-16T07:00:00Z,DO/NC,Engineered,Hard,NA,Hard,NA,Hard,NA,404M07358,Urban,33.98675,-118.41043,404,Hard bottom,4
404M07360,2017-06-08T07:00:00Z,DO/NC,Engineered,Soft,NA,Hard,NA,Hard,NA,404M07360,Urban,34.15459,-118.75848,404,Soft bottom-2 hard sides,3
404M07361,2017-06-06T07:00:00Z,DO/NC,Engineered,Soft,NA,Soft,NA,Hard,NA,404M07361,Open,34.10164,-118.62119,404,Soft bottom-1 hard side,2
404M07362,2017-06-08T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,404M07362,Urban,33.8009,-118.38703,404,Natural,0
404M07364,2018-06-21T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,404M07364,Urban,34.0968,-118.71734,404,Natural,0
404M07365,2018-06-27T07:00:00Z,DO/NC,Engineered,Soft,NA,Hard,wood,Hard,wood,404M07365,Urban,34.04241,-118.51361,404,Soft bottom-2 hard sides,3
404M07368,2018-06-20T07:00:00Z,DO/NC,Natural,NA,NA,NA,NA,NA,NA,404M07368,Urban,34.1264,-118.75364,404,Natural,0
404M07372,2019-07-09T07:00:00Z,D. Owen,Natural,NA,,NA,,NA,,404M07372,Urban,34.13604,-118.75743,404,Natural,0
404M07375,2019-05-14T07:00:00Z,D. Owen,Natural,NA,,NA,,NA,,404M07375,Open,34.0915,-118.6697,404,Natural,0
404M07376,2019-07-09T07:00:00Z,D. Owen,Natural,NA,,NA,,NA,,404M07376,Open,34.08222,-118.68792,404,Natural,0
404M07387,2021-06-16T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,404M07387,Urban,34.13658,-118.70447,404,Natural,0
404M07391,2021-07-12T07:00:00Z,Damon Owen,Engineered,Soft,,Soft,,Hard,,404M07391,Urban,34.15031,-118.69716,404,Soft bottom-1 hard side,2
404M07392,2022-06-13T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,404M07392,Open,34.05187,-118.6909,404,Natural,0
404R4S001,2016-05-05T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,404R4S001,Urban,34.16329,-118.81069,404,Natural,0
404R4S009,2015-04-30T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,404R4S009,Urban,34.17601,-118.76169,404,Natural,0
404R4S070,2015-05-27T07:00:00Z,SM,Natural,NA,NA,NA,NA,NA,NA,404R4S070,Open,34.042,-118.89747,404,Natural,0
404R4S089,2015-05-28T07:00:00Z,SM,Engineered,Hard,NA,Hard,NA,Hard,NA,404R4S089,Urban,33.98426,-118.41426,404,Hard bottom,4
SMC03048,2021-06-02T07:00:00Z,K. Wisenbaker,Engineered,Hard,"some riprap, some natural",Hard,,Hard,,404S03048,Urban,34.18425,-118.79088,404,Hard bottom,4
SMC05992,2022-06-13T07:00:00Z,Damon Owen,Natural,NA,,NA,,NA,,404S05992,Urban,34.15698,-118.75877,404,Natural,0
404R4S050,2016-05-04T07:00:00Z,SM. WJ,Natural,NA,NA,NA,NA,NA,NA,404S11406,Open,34.04865,-118.68986,404,Natural,0
404S31468,1950-01-01T08:00:00Z,K.Hahs,Engineered,Soft,NA,Soft,NA,Soft,NA,404S31468,Urban,34.16874,-118.76171,404,Soft bottom-0 hard sides,1
404S44642,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,404S44642,Open,34.16873,-118.70306,404,Natural,0
404VCLSCU,1950-01-01T08:00:00Z,K.Hahs,Natural,NA,NA,NA,NA,NA,NA,404VCLSCU,Open,34.06514,-118.96317,409,Natural,0
405BH2Axx,1950-01-01T08:00:00Z,NA,Natural,NA,NA,NA,NA,NA,NA,405BH2Axx,Open,34.2429,-117.8732,405,Natural,0
405BH2Bxx,1950-01-01T08:00:00Z,NA,Engineered,Soft,NA,Soft,NA,Hard,NA,405BH2Bxx,Open,34.24138,-117.86947,405,Soft bottom-1 hard side,2
405BH3Axx,1950-01-01T08:00:00Z,NA,Natural,NA,NA,NA,NA,NA,NA,405BH3Axx,Open,34.22984,-117.7719,405,Natural,0
